bin,red,green,blue
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,1,1,1
85,0,0,0
86,0,0,2
87,0,0,0
88,0,0,1
89,0,0,2
90,5,3,2
91,1,1,2
92,3,2,5
93,3,2,6
94,2,5,4
95,8,6,14
96,7,6,2
97,11,10,12
98,14,8,15
99,15,10,26
100,12,10,18
101,32,22,25
102,30,30,25
103,38,24,32
104,39,29,19
105,49,39,26
106,41,46,39
107,44,42,40
108,54,50,44
109,52,64,51
110,57,71,71
111,71,78,69
112,71,85,71
113,82,82,108
114,95,109,129
115,114,104,126
116,130,152,171
117,129,170,156
118,127,146,169
119,123,164,196
120,120,166,229
121,167,212,251
122,184,270,221
123,228,301,277
124,253,321,339
125,263,331,317
126,290,342,353
127,316,358,359
128,330,357,412
129,340,338,369
130,358,364,346
131,403,401,373
132,391,399,375
133,378,400,443
134,387,399,411
135,379,409,475
136,379,367,408
137,384,342,416
138,361,298,359
139,315,279,323
140,273,265,333
141,247,230,334
142,241,232,288
143,215,198,288
144,203,190,299
145,167,170,263
146,149,162,256
147,145,168,295
148,131,164,259
149,129,181,295
150,127,179,290
151,143,215,270
152,123,199,291
153,138,208,272
154,132,248,297
155,140,218,276
156,157,250,278
157,151,256,278
158,193,261,291
159,182,224,269
160,192,227,308
161,197,232,320
162,181,265,299
163,254,246,344
164,217,237,313
165,216,243,331
166,232,260,286
167,221,247,306
168,219,254,310
169,231,260,393
170,188,241,365
171,246,262,312
172,213,249,316
173,199,249,349
174,197,272,353
175,172,244,335
176,200,283,392
177,171,303,371
178,187,308,424
179,162,279,380
180,184,315,409
181,165,341,366
182,182,390,399
183,215,370,415
184,221,384,413
185,256,369,450
186,237,396,374
187,262,379,430
188,242,432,440
189,262,414,416
190,274,404,420
191,272,394,470
192,252,411,458
193,333,397,422
194,340,399,454
195,309,366,456
196,308,393,453
197,335,405,434
198,358,452,456
199,328,447,412
200,386,437,412
201,364,442,422
202,413,390,487
203,389,386,420
204,427,356,371
205,404,386,357
206,401,356,333
207,410,366,363
208,431,344,350
209,414,377,317
210,409,332,284
211,457,326,273
212,418,347,234
213,427,310,230
214,457,289,188
215,423,273,248
216,433,230,218
217,400,257,312
218,402,233,340
219,380,217,369
220,392,206,393
221,316,182,328
222,350,195,308
223,322,180,304
224,308,162,345
225,263,157,341
226,261,184,371
227,273,177,307
228,251,185,294
229,182,171,294
230,187,206,284
231,159,227,227
232,151,240,195
233,170,279,127
234,163,363,84
235,139,327,123
236,175,360,144
237,164,435,124
238,182,349,216
239,225,416,144
240,225,497,70
241,215,508,23
242,276,504,11
243,379,536,2
244,446,439,0
245,553,446,0
246,652,373,1
247,612,224,1
248,614,213,0
249,555,278,0
250,660,224,0
251,693,36,0
252,617,5,0
253,472,0,0
254,376,0,0
255,675,0,0
